MMS Id,Begin Publication Date,ISBN Valid,Library Code,Location Code
99113638673506421,2019,1108470637; 9781108470636; 1108456332; 9781108456333,firestone,stacks
99113638913506421,2019,0300214995; 9780300214994,firestone,stacks
99113638953506421,2019,1438473672; 9781438473673,firestone,stacks
99113638963506421,2019,1538116715; 9781538116715; 1538116723; 9781538116722,firestone,stacks
99113639023506421,2019,0190874155; 9780190874155; 9780197649848; 019764984X,firestone,stacks
99113639043506421,2019,1498586821; 9781498586825,firestone,stacks
99113639323506421,2019,0816538573; 9780816538577,firestone,stacks
99113639473506421,2019,1509530835; 9781509530830; 1509530843; 9781509530847,firestone,stacks
99113639523506421,2019,0500519927; 9780500519929,firestone,stacks
99113639523506421,2019,0500519927; 9780500519929,marquand,pj
99113639683506421,2019,1620972344; 9781620972342,firestone,stacks
99113640073506421,2019,1524733571; 9781524733575; 0525435387; 9780525435389,firestone,stacks
99113640273506421,2019,0525536515; 9780525536512; 0241341132; 9780241341131,firestone,stacks
99113640633506421,2019,0500021422; 9780500021422,arch,stacks
99113640853506421,2019,0847864065; 9780847864065,firestone,stacks
99113640853506421,2019,0847864065; 9780847864065,marquand,stacks
99113642653506421,2019,0895798751; 9780895798756,mendel,stacks
99113654353506421,2019,8858135210; 9788858135211,firestone,stacks
99113654673506421,2018,8894365441; 9788894365443,firestone,stacks
99113665173506421,2018,3593508621; 9783593508627,recap,pa
99113668493506421,2019,8898079877; 9788898079872,firestone,stacks
99113670863506421,2018,4140885661; 9784140885666,recap,pa
99113673163506421,1996,9780262522113; 026252211X; 9780262023719; 0262023717,recap,pa
99113673263506421,2013,9780300194128; 0300194129,firestone,fac
99113674253506421,2018,3836571897; 9783836571890,marquand,ph
99113674753506421,2019,2204131717; 9782204131711,firestone,stacks
99113675863506421,2019,6155860084; 9786155860089,marquand,pj
99113676433506421,2018,9775042569; 9789775042569,recap,pa
99113676693506421,2018,9779113967; 9789779113968,firestone,nec
99113678383506421,2018,9779120416; 9789779120416,firestone,nec
99113680773506421,2018,3863887654; 9783863887650,recap,pa
99113717873506421,2018,7562282676; 9787562282679,marquand,pj
99113722033506421,2019,9783030059859; 3030059855,firestone,stacks
99113722063506421,2019,1503608298; 9781503608290; 1503609243; 9781503609242,firestone,stacks
